Variable,Importancia
SE_mean,0.13551505864398716
FS1_mean,0.10815014986161696
FS1_std,0.08447734860681791
SE_std,0.07432331080730242
PS2_std,0.05237608933913972
PS6_mean,0.028964882110547346
PS1_mean,0.02760560254592128
PS5_max,0.02473130275077506
SE_max,0.02340478374781797
TS4_min,0.022700419278116116
PS1_std,0.021366256756200918
PS1_max,0.018326178335960272
TS1_min,0.0173153200798449
PS5_mean,0.015499592701542315
PS2_mean,0.015301425529262853
PS6_min,0.01528476079173627
EPS1_std,0.01487658060567084
TS4_max,0.014797561533244755
TS4_mean,0.01436023424578974
TS1_std,0.013923228531408564
PS3_mean,0.013284380147376297
EPS1_mean,0.012773121923911324
PS1_min,0.01189056855709595
PS6_max,0.011537209180319323
PS5_min,0.010921200894596281
TS1_max,0.010151066181838964
CE_mean,0.009759626999769533
FS1_max,0.009317861125161262
PS3_std,0.009124258865058374
TS2_max,0.008922335986266756
CE_max,0.008680666669372937
TS3_min,0.008186661274440397
TS1_mean,0.007955155458441429
TS3_std,0.00767988269945073
TS3_mean,0.007025966030214072
TS2_min,0.006647107197796367
PS4_min,0.005854714964950828
PS5_std,0.005697437774287178
PS4_std,0.005462894408541426
CE_min,0.005362318632143508
TS4_std,0.005167897928863472
FS2_mean,0.005124580175844218
EPS1_min,0.004981725568336082
PS4_mean,0.0046065674648117245
TS2_mean,0.004587200745052026
VS1_min,0.004294296994554161
PS3_max,0.0042224885483993614
CP_mean,0.0037816673106657707
CP_min,0.003484225593826172
TS3_max,0.00332086382411466
FS2_std,0.0031488351717885495
PS4_max,0.003130982978431247
EPS1_max,0.003088605333838562
TS2_std,0.0030782050482724725
VS1_std,0.002893353412197054
CP_max,0.002780831332880027
VS1_max,0.002765872745386477
CP_std,0.0027221354345393772
FS2_min,0.0026455275118801593
FS2_max,0.0026064555569241914
VS1_mean,0.002546698618643755
CE_std,0.0024465806122234697
PS6_std,0.0017655137737940894
PS2_max,0.0012743665409965849
FS1_min,0.0
